﻿Fecha,Hora,Magnitud,Profundidad,Referencia de localizacion
1950-10-23,10:13:20,7.2,33.0,"56 km al SURESTE de CD HIDALGO, CHIS"
1950-11-17,13:28:23,6.6,33.0,"33 km al NORTE de ATOYAC DE ALVAREZ, GRO"
1950-12-14,08:15:50,7.2,33.0,"47 km al OESTE de H TLAXIACO, OAX"
1951-12-11,19:37:34,7.0,100.0,"59 km al ESTE de MATIAS ROMERO, OAX"
1951-12-28,03:20:26,6.8,33.0,"39 km al NOROESTE de OMETEPEC, GRO"
1953-08-24,07:21:02,6.7,96.0,"103 km al SURESTE de CD HIDALGO, CHIS"
1953-12-01,09:18:33,6.7,33.0,"57 km al SUROESTE de OMETEPEC, GRO"
1954-04-29,05:34:34,7.0,33.0,"120 km al NORESTE de GUERRERO NEGRO, BCS"
1955-04-05,09:09:15,6.6,33.0,"100 km al NORESTE de LA PAZ, BCS"
1955-08-28,14:13:30,6.6,60.0,"145 km al SURESTE de CD HIDALGO, CHIS"
1955-09-26,02:28:20,6.9,200.0,"31 km al NOROESTE de MOTOZINTLA, CHIS"
1956-02-09,08:32:39,6.7,33.0,"75 km al ESTE de RODOLFO SANCHEZ T(MRO), BC"
1957-04-09,23:12:09,6.7,33.0,"93 km al SUR de PINOTEPA NACIONAL, OAX"
1957-07-28,02:40:10,7.8,33.0,"47 km al NORESTE de SAN MARCOS, GRO"
1959-05-24,13:17:43,6.8,80.0,"28 km al SURESTE de TEPELMEME, OAX"
1959-08-26,02:25:31,6.4,21.0,"12 km al NORTE de ALLENDE, VER"
1960-07-13,10:23:56,6.9,150.0,"59 km al ESTE de MATIAS ROMERO, OAX"
1961-09-01,12:50:34,6.6,25.0,"141 km al SUROESTE de CD HIDALGO, CHIS"
1962-05-11,08:11:57,7.1,33.0,"34 km al SUR de CHILPANCINGO, GRO"
1962-05-19,08:58:10,7.0,33.0,"41 km al NOROESTE de SAN MARCOS, GRO"
1963-11-18,08:38:26,6.5,7.0,"182 km al SUR de PUERTO PEÑASCO, SON"
1964-07-05,20:14:37,6.5,10.0,"85 km al SUROESTE de HUATABAMPO, SON"
1964-07-06,01:22:13,7.2,55.0,38 k
